Starting Time: 4/23/2012 11:10 AM	 	 	 	 	 	 
Seconds	Thermocouple 1	Thermocouple 2	Thermocouple 3	Thermocouple 4	MainPres	PrepPres
16.452941	NaN	NaN	NaN	NaN	1.568281E-10	4.571934E-10
16.560947	NaN	NaN	NaN	NaN	1.568281E-10	4.571934E-10
16.625951	NaN	NaN	NaN	NaN	1.568281E-10	4.571934E-10
16.691955	NaN	NaN	NaN	NaN	1.568281E-10	4.571934E-10
16.756958	NaN	NaN	NaN	NaN	1.568281E-10	4.571934E-10
16.844964	NaN	NaN	NaN	NaN	1.554927E-10	4.513107E-10
16.956970	NaN	NaN	NaN	NaN	1.554927E-10	4.513107E-10
17.104979	NaN	NaN	NaN	NaN	1.554927E-10	4.513107E-10
17.191983	NaN	NaN	NaN	NaN	1.554927E-10	4.513107E-10
17.267988	NaN	NaN	NaN	NaN	1.554927E-10	4.513107E-10
17.351993	NaN	NaN	NaN	NaN	1.545053E-10	4.461617E-10
17.450998	NaN	NaN	NaN	NaN	1.545053E-10	4.461617E-10
17.517002	NaN	NaN	NaN	NaN	1.545053E-10	4.461617E-10
17.591006	NaN	NaN	NaN	NaN	1.545053E-10	4.461617E-10
17.673011	NaN	NaN	NaN	NaN	1.545053E-10	4.461617E-10
17.756016	NaN	NaN	NaN	NaN	1.545053E-10	4.461617E-10
17.844021	NaN	NaN	NaN	NaN	1.535819E-10	4.403285E-10
17.943027	NaN	NaN	NaN	NaN	1.535819E-10	4.403285E-10
18.026031	NaN	NaN	NaN	NaN	1.535819E-10	4.403285E-10
18.131037	NaN	NaN	NaN	NaN	1.535819E-10	4.403285E-10
18.196041	NaN	NaN	NaN	NaN	1.535819E-10	4.403285E-10
18.279046	NaN	NaN	NaN	NaN	1.535819E-10	4.403285E-10
18.346049	NaN	NaN	NaN	NaN	1.559331E-10	4.560366E-10
18.456056	NaN	NaN	NaN	NaN	1.559331E-10	4.560366E-10
18.521060	NaN	NaN	NaN	NaN	1.559331E-10	4.560366E-10
18.623065	NaN	NaN	NaN	NaN	1.559331E-10	4.560366E-10
18.706070	NaN	NaN	NaN	NaN	1.559331E-10	4.560366E-10
18.771074	NaN	NaN	NaN	NaN	1.559331E-10	4.560366E-10
18.851079	NaN	NaN	NaN	NaN	1.562172E-10	4.431428E-10
18.951084	NaN	NaN	NaN	NaN	1.562172E-10	4.431428E-10
19.016088	NaN	NaN	NaN	NaN	1.562172E-10	4.431428E-10
19.098093	NaN	NaN	NaN	NaN	1.562172E-10	4.431428E-10
